日期,神乐めあ,凑阿夸,Kanna,战斗吧歌姬,花園セレナ,神楽七奈,千草はな,白上吹雪,陆婉莹,mendako,赤井心,夏色祭,安堂いなり,ユメノシオリ,森永みう,白音小雪,百鬼绫目,紫咲诗音,本间向日葵,Siva_小虾鱼_,大神澪,有栖マナ,萝卜子,静凛,椎名唯华,犬山玉姬,绿仙,爱夏なつ,乌拉の帝国,高槻律,癒月巧可,亚绮-罗森,千鈴めい,樱巫女,Paryi,莉姬リジ爱米莉,龙胆尊,物述有栖-爱丽丝,田中姬铃木雏,音俣るか,魔宵さきゅ,綾奈なな,笹木咲,mugi,YuNi,ENA,夜空梅露,大空昴,天神子兔音,心斎桥オクト,來夢めると,Overidea_China
,220966.9795,87956.675,46989.3075,41655.288,25798.103,23382.147,21492.764,17092.123,15326.7,13691.866,10289.7365,8273.5495,7781.09,6392.362,5362.383,4371.816,4290.014,3122.916,2962.699,2859.335,2640.839,2597.878,2459.333,1924.6325,1515.62,972.9125,934.306,887.919,626.184,617.5,566.332,353.4,293.7,264.9,239.8,83,73.6,64.2,45.9,42,30.3,19.7,10.4,9.9,9.9,5,0,0,0,0,0,0
2019/4/16,4734.9405,2188.6175,2121.31,,,,,69.06,,,0,408.3,,,,16.95,,,,,,,,174.9165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/17,151.51,21.7,1468.7165,,,,,1694.5665,,,1938.2745,31.7,,,,5,,,,,,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/18(18:10~),30.95(18:10~),477.55(18:10~),4551.959(18:10~),,,,,436.246(18:10~),,,210.0665(18:10~),15.25(18:10~计),,,,0,,,,,,,,201.4(18:10~),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/19,96.45,4579.776,8.56,,,,,1157.0985,,,577.7,1733.433,,,,405.16,,,,,,,,143.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/20,83.3,675.816,4141.602,,,,,1153.7775,,,105.25,393.693,,,,91.7,,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/21,174.3,2533.575,2.3,,,,,4597.1695,,,90.29,9.95,,,,113.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/23(16:00~),6.55,1808.2385,0.7,5.5,82.31,9.9,0,16.9,,5.51,121.35,1129.8955,4.95,682.124,51.15,45.76,23.05,34.95,76.8,,0,57.65,38.5,68.9,14.2,15.6165,0,,,0,9.1,,,,,,,,,,,,,,,,,,,,,
2019/4/24,207064.629,3240.041,4447.5,21,928.933,227,0,2509.799,,1953.86,10.1,903.706,418.22,54.3,2618.4,2085.54,571.466,33.7,198.3,,154.9,676.448,1984.6,158.326,0,0,0,,,309.3,84.732,,,,,,,,,,,,,,,,,,,,,
2019/4/25,2318.6,4995.358,1687.2,22.6,669.82,20,0,780.253,,197.1,4498.872,1335.919,37.7,0,1055.733,9.9,2432.1,10,2237.499,,215,78.76,0,23.6,1319.12,0,430.186,,,1.1,57.1,,,,,,,,,,,,,,,,,,,,,
2019/4/26,1254.8,33066.049,16033.539,41405.288,21,39.8,10694.84,1395.3,,5835.996,0,239.1,5025.02,3813.918,173.7,50,10.4,64.4,39.6,,459.7,33.8,0,0,79.7,0,0,,,0,314.8,,,,,,,,,,,,,,,,,,,,,
2019/4/27,1046.7,2081.317,942.8,52.1,627.6,22947.847,2010.666,166.5,,0,172.92,14.3,610.1,1832.12,1398.3,108.366,108.5,31.133,62.9,,10.9,566.3,0.1,0,30.7,65.897,26.32,,,12.2,76.1,,,,,,,,,,,,,,,,,,,,,
2019/4/28,894.1,2030.753,16112.08,78.8,46.2,95.7,9.9,1920.499,,0.2,2505.18,354.333,16.2,9.9,47.2,0,750.398,2762.233,20.9,,925.486,252.4,323.133,228.8,71.9,64.033,285.9,,,255.2,24.5,9.9,1,0,0,,0,29.2,30,,21.9,,0.5,0,9.9,5,0,0,0,,,
2019/4/29,1531.2,23718.14,18,1.1,9.9,0.1,9.1,616.3,285.2,0,1,213.3,10.4,0,17.3,50.64,114,0,198,,806.553,633.5,3.1,559,0,286.233,0,,,0,0,295.1,29.7,204.7,31.8,,32.8,0,14.9,10.1,8.2,,9.9,9.9,0,0,0,0,0,,,
2019/4/30,1609.9,7017.294,5,68.9,23412.34,41.8,8768.258,1014.9,15041.5,5699.2,268.8,1505.92,1658.5,0,0.6,1389.3,280.1,186.5,128.7,2859.335,68.3,299.02,109.9,537.74,0,541.133,191.9,887.919,626.184,39.7,0,48.4,263,60.2,208,83,40.8,35,1,31.9,0.2,19.7,0,0,0,0,0,0,0,0,0,
